handle	text
HillaryClinton	"""Victory"" never tasted so good. Thanks, @MikeyLikesItNY.
https://t.co/1jxm6JscOf"
HillaryClinton	"Thank you, New York. Let's go win this nomination.
https://t.co/OVp5NTVWnU"
HillaryClinton	"In which Hillary reacts to @NBCSNL Hillary skits on @GMA.
https://t.co/6Hcc0V8u3q"
HillaryClinton	"If anything else killed 33,000 people per year, Congress would take action. It's time to #StopGunViolence. https://t.co/PoTp8Mirei"
HillaryClinton	"""We have got to address the unequal effects of the criminal justice system on people of color."" —Hillary on @GMA
https://t.co/87mBLdLnAr"
HillaryClinton	Gun violence is an epidemic. We cannot become indifferent to these losses. https://t.co/ozcS4v6jJX
HillaryClinton	A few bad actors supply the vast majority of guns used in crimes. We need to stop them. https://t.co/fLUBDiGFQ6 https://t.co/bFNQ4LeGcn
HillaryClinton	"""Once you've paid your debt to society, your voting rights should be returned immediately."" —Hillary on @GMA
https://t.co/ZlyKOYwsOo"
HillaryClinton	"It isn't enough to just say we support equal pay for women. We have to do everything we can to make it a reality.
https://t.co/okNk0RDPmi"
HillaryClinton	"""To all the people who supported Sen. Sanders, I believe there's much more that unites us than divides us."" —Hillary https://t.co/oGJ0BwYWuI"
HillaryClinton	Conoce la historia de un gimnasio en Nueva York ayudando a concienciar sobre la encarcelación masiva. https://t.co/ee4TG3DPTG
HillaryClinton	"To make a better future for our kids, we've got to protect the future of our planet. Happy Earth Day. https://t.co/jRPtmo4Qzi"
HillaryClinton	Proud the U.S. is signing the Paris climate deal. What better way to celebrate Earth Day than taking action to help save our planet? -H
HillaryClinton	Zika is a threat to public health &amp; we have to act now. Tell Congress to approve funding to address this crisis: https://t.co/KjmWMDOgDl -H
HillaryClinton	"""It is not enough to be on the money. You need to be making the money."" —Hillary on ensuring equal pay for women"
HillaryClinton	We need to act on Zika—fast. Add your name and tell Congress: approve emergency funding now to keep families safe. https://t.co/H0jvAG9rZ2
HillaryClinton	"The climate is changing.
Republican policies aren't.

RT if you agree we need to #ActOnClimate.
https://t.co/8UUzG6RbVt"
HillaryClinton	Proud of my friend @GovernorVA for continuing to break down barriers to voting. -H https://t.co/sL6NBLKwho
HillaryClinton	"In ten years, we can generate enough renewable energy to power every home in America. #EarthDay
https://t.co/k7EGD4G4dK"
HillaryClinton	"Para dejarle un mejor futuro a nuestros niños, tenemos que proteger el futuro de nuestro planeta. #DiaDeLaTierra https://t.co/BUdyIdA5lz"
HillaryClinton	Passover is a chance to gather with loved ones and recommit to fighting all forms of injustice. Chag sameach to those celebrating. -H
HillaryClinton	"We all know Donald Trump says offensive things about women. Here's what he says about policies that benefit women.
https://t.co/YMV0rvwFnf"
HillaryClinton	Zika has reached the U.S. and we can't wait any longer to act. Tell Congress to address this public health crisis: https://t.co/H0jvAG9rZ2
HillaryClinton	Does Trump think he can fool us into forgetting his hateful rhetoric? Sad! https://t.co/0Vvw0m36ZX
HillaryClinton	"Tenemos que actuar ahora para proteger a los puertorriqueños (del Zika), especialmente a las mujeres embarazadas. https://t.co/h93oQDo5sq"
HillaryClinton	"Every child in America deserves clean air to breathe, clean water to drink, and a safe and healthy place to live. https://t.co/t0eAF9tXHH"
HillaryClinton	"Uno no se intimida cuando se tienen que denunciar abusos a los derechos humanos.
https://t.co/ULMzosJ2Dr"
