"trend","symbol","n_period","l_period","date","target","pred_final_avg","pred_final"
"bullish","AAPL",1,1,2020-04-28,"Yes",0.261604950512475,0
"bullish","AAPL",1,1,2020-04-29,"Yes",0.722418003536757,1
"bullish","AAPL",1,1,2020-04-30,"No",0.273608132251336,0
"bullish","AAPL",1,1,2020-05-01,"No",0.197065414266215,0
"bullish","AAPL",1,1,2020-05-04,"Yes",0.223203510886263,0
"bullish","AAPL",1,1,2020-05-05,"No",0.0756079140516858,0
"bullish","AAPL",1,1,2020-05-06,"No",0.0754666606978904,0
"bullish","AAPL",1,1,2020-05-07,"Yes",0.138642658979231,0
"bullish","AAPL",1,1,2020-05-08,"Yes",0.103637089324738,0
"bullish","AAPL",1,1,2020-05-11,"No",0.248753147028391,0
"bullish","AAPL",1,1,2020-05-12,"No",0.28260524121172,0
"bullish","AAPL",1,1,2020-05-13,NA,0.125338793982284,0
"bullish","AAPL",2,1,2020-01-03,"No",0.156087016997782,0
"bullish","AAPL",2,1,2020-01-06,"No",0.205701903099512,0
"bullish","AAPL",2,1,2020-01-07,"Yes",0.206379770984212,0
"bullish","AAPL",2,1,2020-01-08,"Yes",0.206606510417867,0
"bullish","AAPL",2,1,2020-01-09,"Yes",0.0898429925931043,0
"bullish","AAPL",2,1,2020-01-10,"No",0.191224070967894,0
"bullish","AAPL",2,1,2020-01-13,"No",0.0820763395011695,0
"bullish","AAPL",2,1,2020-01-14,"No",0.139744114593632,0
"bullish","AAPL",2,1,2020-01-15,"Yes",0.0718796967570873,0
"bullish","AAPL",2,1,2020-01-16,"No",0.10851078681976,0
"bullish","AAPL",2,1,2020-01-17,"No",0.140178499465431,0
"bullish","AAPL",2,1,2020-01-21,"No",0.157379661010081,0
"bullish","AAPL",2,1,2020-01-22,"No",0.155250040917861,0
"bullish","AAPL",2,1,2020-01-23,"No",0.149033091283031,0
"bullish","AAPL",2,1,2020-01-24,"No",0.0961408757712087,0
"bullish","AAPL",2,1,2020-01-27,"Yes",0.0943770570904651,0
"bullish","AAPL",2,1,2020-01-28,"No",0.0671339182447478,0
"bullish","AAPL",2,1,2020-01-29,"No",0.0737201255246149,0
"bullish","AAPL",2,1,2020-01-30,"No",0.105879117921969,0
"bullish","AAPL",2,1,2020-01-31,"Yes",0.624965050048962,1
