"trend","symbol","n_period","l_period","trainMethod","term","class","estimate","conf.low","conf.high","p.value"
"bullish","AAPL",1,1,"nb - top layer","neg_pred_value","Yes",0.841463414634146,NA,NA,NA
"bullish","AAPL",1,1,"nb - top layer","precision","Yes",0.666666666666667,NA,NA,NA
"bullish","AAPL",1,1,"nb - top layer","recall","Yes",0.580645161290323,NA,NA,NA
"bullish","AAPL",1,1,"nb - top layer","f1","Yes",0.620689655172414,NA,NA,NA
"bullish","AAPL",1,1,"nb - top layer","prevalence","Yes",0.284403669724771,NA,NA,NA
"bullish","AAPL",1,1,"nb - top layer","detection_rate","Yes",0.165137614678899,NA,NA,NA
"bullish","AAPL",1,1,"nb - top layer","detection_prevalence","Yes",0.247706422018349,NA,NA,NA
"bullish","AAPL",1,1,"nb - top layer","balanced_accuracy","Yes",0.732630272952854,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","accuracy",NA,0.825688073394495,0.741250887823002,0.891666262707245,0.00556124099521925
"bullish","AAPL",1,1,"gbm - top layer","kappa",NA,0.530704736007251,NA,NA,0.0664574200169311
"bullish","AAPL",1,1,"gbm - top layer","sensitivity","Yes",0.548387096774194,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","specificity","Yes",0.935897435897436,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","pos_pred_value","Yes",0.772727272727273,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","neg_pred_value","Yes",0.839080459770115,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","precision","Yes",0.772727272727273,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","recall","Yes",0.548387096774194,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","f1","Yes",0.641509433962264,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","prevalence","Yes",0.284403669724771,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","detection_rate","Yes",0.155963302752294,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","detection_prevalence","Yes",0.201834862385321,NA,NA,NA
"bullish","AAPL",1,1,"gbm - top layer","balanced_accuracy","Yes",0.742142266335815,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","accuracy",NA,0.853211009174312,0.772594882009478,0.913706713545423,0.000563436474869656
"bullish","AAPL",1,1,"final - averaging","kappa",NA,0.608968609865471,NA,NA,0.0801183137276343
"bullish","AAPL",1,1,"final - averaging","sensitivity","Yes",0.612903225806452,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","specificity","Yes",0.948717948717949,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","pos_pred_value","Yes",0.826086956521739,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","neg_pred_value","Yes",0.86046511627907,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","precision","Yes",0.826086956521739,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","recall","Yes",0.612903225806452,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","f1","Yes",0.703703703703704,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","prevalence","Yes",0.284403669724771,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","detection_rate","Yes",0.174311926605505,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","detection_prevalence","Yes",0.211009174311927,NA,NA,NA
"bullish","AAPL",1,1,"final - averaging","balanced_accuracy","Yes",0.7808105872622,NA,NA,NA
"bullish","AAPL",2,1,"glm","accuracy",NA,0.731481481481482,0.637632321303272,0.812223685198614,0.463550482328569
"bullish","AAPL",2,1,"glm","kappa",NA,0.209090909090909,NA,NA,0.00932958471977156
"bullish","AAPL",2,1,"glm","sensitivity","Yes",0.266666666666667,NA,NA,NA
"bullish","AAPL",2,1,"glm","specificity","Yes",0.91025641025641,NA,NA,NA
"bullish","AAPL",2,1,"glm","pos_pred_value","Yes",0.533333333333333,NA,NA,NA
"bullish","AAPL",2,1,"glm","neg_pred_value","Yes",0.763440860215054,NA,NA,NA
"bullish","AAPL",2,1,"glm","precision","Yes",0.533333333333333,NA,NA,NA
"bullish","AAPL",2,1,"glm","recall","Yes",0.266666666666667,NA,NA,NA
"bullish","AAPL",2,1,"glm","f1","Yes",0.355555555555556,NA,NA,NA
"bullish","AAPL",2,1,"glm","prevalence","Yes",0.277777777777778,NA,NA,NA
"bullish","AAPL",2,1,"glm","detection_rate","Yes",0.0740740740740741,NA,NA,NA
"bullish","AAPL",2,1,"glm","detection_prevalence","Yes",0.138888888888889,NA,NA,NA
"bullish","AAPL",2,1,"glm","balanced_accuracy","Yes",0.588461538461538,NA,NA,NA
"bullish","AAPL",2,1,"nb","accuracy",NA,0.703703703703704,0.608179343332203,0.787715255177236,0.708206578893205
"bullish","AAPL",2,1,"nb","kappa",NA,0.246073298429319,NA,NA,0.859683795198666
"bullish","AAPL",2,1,"nb","sensitivity","Yes",0.433333333333333,NA,NA,NA
"bullish","AAPL",2,1,"nb","specificity","Yes",0.807692307692308,NA,NA,NA
"bullish","AAPL",2,1,"nb","pos_pred_value","Yes",0.464285714285714,NA,NA,NA
"bullish","AAPL",2,1,"nb","neg_pred_value","Yes",0.7875,NA,NA,NA
"bullish","AAPL",2,1,"nb","precision","Yes",0.464285714285714,NA,NA,NA
"bullish","AAPL",2,1,"nb","recall","Yes",0.433333333333333,NA,NA,NA
"bullish","AAPL",2,1,"nb","f1","Yes",0.448275862068966,NA,NA,NA
"bullish","AAPL",2,1,"nb","prevalence","Yes",0.277777777777778,NA,NA,NA
"bullish","AAPL",2,1,"nb","detection_rate","Yes",0.12037037037037,NA,NA,NA
"bullish","AAPL",2,1,"nb","detection_prevalence","Yes",0.259259259259259,NA,NA,NA
"bullish","AAPL",2,1,"nb","balanced_accuracy","Yes",0.620512820512821,NA,NA,NA
"bullish","AAPL",2,1,"gbm","accuracy",NA,0.787037037037037,0.697785640599093,0.859952109560991,0.0786535666962459
"bullish","AAPL",2,1,"gbm","kappa",NA,0.463730569948187,NA,NA,1
"bullish","AAPL",2,1,"gbm","sensitivity","Yes",0.6,NA,NA,NA
"bullish","AAPL",2,1,"gbm","specificity","Yes",0.858974358974359,NA,NA,NA
"bullish","AAPL",2,1,"gbm","pos_pred_value","Yes",0.620689655172414,NA,NA,NA
"bullish","AAPL",2,1,"gbm","neg_pred_value","Yes",0.848101265822785,NA,NA,NA
"bullish","AAPL",2,1,"gbm","precision","Yes",0.620689655172414,NA,NA,NA
"bullish","AAPL",2,1,"gbm","recall","Yes",0.6,NA,NA,NA
"bullish","AAPL",2,1,"gbm","f1","Yes",0.610169491525424,NA,NA,NA
"bullish","AAPL",2,1,"gbm","prevalence","Yes",0.277777777777778,NA,NA,NA
"bullish","AAPL",2,1,"gbm","detection_rate","Yes",0.166666666666667,NA,NA,NA
"bullish","AAPL",2,1,"gbm","detection_prevalence","Yes",0.268518518518519,NA,NA,NA
"bullish","AAPL",2,1,"gbm","balanced_accuracy","Yes",0.729487179487179,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","accuracy",NA,0.805555555555556,0.718260779161142,0.8754200893555,0.0306664448460376
"bullish","AAPL",2,1,"glm - top layer","kappa",NA,0.5,NA,NA,0.662520583540057
"bullish","AAPL",2,1,"glm - top layer","sensitivity","Yes",0.6,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","specificity","Yes",0.884615384615385,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","pos_pred_value","Yes",0.666666666666667,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","neg_pred_value","Yes",0.851851851851852,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","precision","Yes",0.666666666666667,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","recall","Yes",0.6,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","f1","Yes",0.631578947368421,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","prevalence","Yes",0.277777777777778,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","detection_rate","Yes",0.166666666666667,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","detection_prevalence","Yes",0.25,NA,NA,NA
"bullish","AAPL",2,1,"glm - top layer","balanced_accuracy","Yes",0.742307692307692,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","accuracy",NA,0.796296296296296,0.707993943666608,0.867716743746229,0.0503484056597721
"bullish","AAPL",2,1,"nb - top layer","kappa",NA,0.50251256281407,NA,NA,0.831170409541762
"bullish","AAPL",2,1,"nb - top layer","sensitivity","Yes",0.666666666666667,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","specificity","Yes",0.846153846153846,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","pos_pred_value","Yes",0.625,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","neg_pred_value","Yes",0.868421052631579,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","precision","Yes",0.625,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","recall","Yes",0.666666666666667,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","f1","Yes",0.645161290322581,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","prevalence","Yes",0.277777777777778,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","detection_rate","Yes",0.185185185185185,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","detection_prevalence","Yes",0.296296296296296,NA,NA,NA
"bullish","AAPL",2,1,"nb - top layer","balanced_accuracy","Yes",0.756410256410256,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","accuracy",NA,0.787037037037037,0.697785640599093,0.859952109560991,0.0786535666962459
"bullish","AAPL",2,1,"gbm - top layer","kappa",NA,0.428176795580111,NA,NA,0.21090292605661
